time,cpu,mem,bw_in,bw_out
2013-09-01 00:00:00,0.22855555555555548,581.6305121527779,1489.8828124999998,1205.3710937499998
2013-09-01 01:00:00,0.19533333333333336,608.0267144097222,1345.60546875,1078.2031249999995
2013-09-01 02:00:00,0.14596428571428574,592.8782102554563,1105.101841517857,766.644810267857
2013-09-01 03:00:00,0.14638888888888887,485.14715711805553,1085.8203125000002,703.57421875
2013-09-01 04:00:00,0.14683333333333334,382.9745427207342,1066.5848214285716,707.1986607142856
2013-09-01 05:00:00,0.15431349206349207,369.58120194692464,1091.5304129464287,670.3599330357142
2013-09-01 06:00:00,0.17916666666666664,444.6423177083334,1221.5429687500002,776.5429687499999
2013-09-01 07:00:00,0.1718888888888889,456.4747612847222,1172.20703125,849.1015625
2013-09-01 08:00:00,0.19155555555555556,456.9300564236112,1299.2187500000002,1061.406249999999
2013-09-01 09:00:00,0.26644444444444443,541.1253038194444,1808.3203125,1867.3242187499986
2013-09-01 10:00:00,0.2907777777777778,559.7853081597223,1954.82421875,1984.1210937499989
2013-09-01 11:00:00,0.27661111111111114,551.1380859375,1898.5546875,1913.964843749999
2013-09-01 12:00:00,0.285,465.12178819444443,1977.94921875,2069.843749999999
2013-09-01 13:00:00,0.3253888888888889,576.6243706597223,2274.94140625,2410.039062499999
2013-09-01 14:00:00,0.3047222222222222,547.4972439236111,2047.6171874999998,2028.105468749999
2013-09-01 15:00:00,0.27349999999999997,571.1630859375,1857.1093750000002,1921.8945312499989
2013-09-01 16:00:00,0.24266666666666667,565.7016276041667,1659.2968749999998,1572.2656249999993
2013-09-01 17:00:00,0.2624444444444444,556.5993272569443,1791.6601562499998,1722.5976562499998
2013-09-01 18:00:00,0.29105555555555557,586.6368272569445,1977.87109375,1989.5312499999993
2013-09-01 19:00:00,0.2683888888888889,577.5342664930556,1750.48828125,1614.1601562499993
2013-09-01 20:00:00,0.26205555555555554,563.4258680555555,1872.0703125,1877.3828124999995
2013-09-01 21:00:00,0.19566666666666668,562.5156250000001,1382.94921875,1261.9921874999993
2013-09-01 22:00:00,0.20355555555555557,584.8162326388889,1395.05859375,1127.1484374999995
2013-09-01 23:00:00,0.192,545.6766927083332,1347.1484375,963.1640624999995
2013-09-02 00:00:00,0.14566666666666667,509.2679036458334,1052.6953125,650.7812499999999
2013-09-02 01:00:00,0.17288888888888893,581.6305772569444,1140.05859375,682.4023437499999
2013-09-02 02:00:00,0.15622222222222223,471.49355468749997,1084.4921874999998,641.2695312499999
2013-09-02 03:00:00,0.13077777777777777,549.3175998263888,1011.9921875,630.8203124999998
2013-09-02 04:00:00,0.159,509.26803385416673,1169.4140625000002,866.5820312499999
2013-09-02 05:00:00,0.18183333333333332,570.7081380208334,1333.125,1064.2187499999995
2013-09-02 06:00:00,0.24155555555555555,461.4813368055556,1699.7851562500002,1362.1289062499993
2013-09-02 07:00:00,0.24055555555555558,469.6732855902778,1703.3398437500002,1610.761718749999
2013-09-02 08:00:00,0.2651666666666667,461.48138020833335,1857.4023437500005,1858.789062499999
2013-09-02 09:00:00,0.3071111111111111,507.90269097222216,2271.2499999999995,2491.523437499999
2013-09-02 10:00:00,0.35033333333333333,459.66069878472223,2455.546875,2446.6601562499995
2013-09-02 11:00:00,0.34805555555555556,489.6981336805556,2346.34765625,2181.679687499999
2013-09-02 12:00:00,0.39227777777777784,532.9334635416666,2733.4765625,2954.5507812499986
2013-09-02 13:00:00,0.3782777777777778,540.2152777777778,2705.4492187500005,2857.246093749999
2013-09-02 14:00:00,0.3713888888888889,513.8188802083333,2542.890625,2196.3281249999986
2013-09-02 15:00:00,0.4796111111111111,591.6431206597223,3247.910156249999,2700.8398437499986
2013-09-02 16:00:00,0.3596666666666667,510.17829861111113,2391.25,2458.9648437499986
2013-09-02 17:00:00,0.29211111111111115,563.8809895833332,1992.2265625,1991.328124999999
2013-09-02 18:00:00,0.2933333333333333,683.5752170138888,2074.19921875,2085.8203124999995
2013-09-02 19:00:00,0.23527777777777775,577.9896484374999,1684.3945312499998,1578.8281249999993
2013-09-02 20:00:00,0.21394444444444446,559.7848741319445,1643.7304687499998,1345.8398437499998
2013-09-02 21:00:00,0.1923888888888889,623.9555338541667,1396.3476562500002,1047.2851562499998
2013-09-02 22:00:00,0.16349999999999998,638.5193142361111,1183.49609375,765.6445312499998
2013-09-02 23:00:00,0.16944444444444443,616.2186848958332,1214.0039062499998,740.703125
2013-09-03 00:00:00,0.13372222222222221,567.9770182291667,1020.5468750000002,630.46875
2013-09-03 01:00:00,0.1277777777777778,555.2338975694445,1001.4453125000002,610.2539062499998
2013-09-03 02:00:00,0.1433888888888889,603.4759548611111,1111.953125,764.2968749999998
2013-09-03 03:00:00,0.16338888888888892,628.0515407986111,1226.953125,948.9453124999994
2013-09-03 04:00:00,0.20227777777777778,604.841015625,1490.25390625,1255.0781249999993
2013-09-03 05:00:00,0.3036666666666666,684.0305989583331,2195.8593749999995,1979.1601562499989
2013-09-03 06:00:00,0.32792857142857146,633.6755394345238,2234.27734375,1863.690011160713
2013-09-03 07:00:00,0.3849444444444444,589.3671875000001,2599.70703125,2352.9296874999986
2013-09-03 08:00:00,0.47094444444444433,601.2001736111112,2961.07421875,2638.3593749999986
2013-09-03 09:00:00,0.4174999999999999,610.7575954861112,2784.375,2529.960937499998
2013-09-03 10:00:00,0.5576666666666666,576.1688585069445,3554.7070312500005,2982.656249999999
2013-09-03 11:00:00,0.49538888888888893,541.1260416666668,3175.3320312500005,2706.8749999999995
2013-09-03 12:00:00,0.4127222222222222,563.425954861111,2696.07421875,2238.222656249998
2013-09-03 13:00:00,0.3801111111111112,517.4597005208334,2438.1445312500005,2020.8984374999993
2013-09-03 14:00:00,0.3668888888888889,624.8659505208333,2404.2578125000005,2124.414062499999
2013-09-03 15:00:00,0.2828888888888889,522.9211805555556,2022.36328125,2081.4257812499986
2013-09-03 16:00:00,0.3422777777777778,587.5468967013888,2415.48828125,2351.933593749999
2013-09-03 17:00:00,0.26116666666666666,643.5256293402776,1860.3710937499995,1764.394531249999
2013-09-03 18:00:00,0.26255555555555554,558.4197916666668,1810.95703125,1574.0624999999993
2013-09-03 19:00:00,0.191,523.3761718750001,1330.4101562500002,951.0546874999993
2013-09-03 20:00:00,0.20788888888888887,401.40655381944435,1389.5312500000002,916.9726562499997
2013-09-03 21:00:00,0.1882777777777778,429.1684027777778,1271.50390625,753.9257812499999
2013-09-03 22:00:00,0.17561111111111113,443.73216145833334,1229.8242187499998,743.1445312499999
2013-09-03 23:00:00,0.15866666666666665,357.71595052083336,1155.68359375,728.3203124999998
2013-09-04 00:00:00,0.1696666666666667,409.14338107638895,1178.203125,727.890625
2013-09-04 01:00:00,0.18355555555555556,399.1311414930555,1255.1953125,807.6757812499999
2013-09-04 02:00:00,0.21283333333333335,420.9761935763889,1526.15234375,1159.3945312499993
2013-09-04 03:00:00,0.3859444444444445,522.0107855902778,2548.0078125000005,2043.3984374999989
2013-09-04 04:00:00,0.34255555555555556,458.29550781250003,2466.6992187499995,2295.5078124999986
2013-09-04 05:00:00,0.4068333333333334,515.6394748263889,2644.3164062499995,2312.5781249999986
2013-09-04 06:00:00,0.3589444444444444,451.46883680555544,2525.2734375000005,2366.6210937499986
